Country,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Sum,Place
FRA,4646,Dominique Savelli,François-Bernard Savelli,,,,,,,,,1
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,,,,,,,,,2
FRA,4479,Le Glohaec,Baron,,,,,,,,,3
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,,,4
FRA,4300,Thibault Di Pede,Pascal,,,,,,,,,5
FRA,3851,Amiot,Bisson,,,,,,,,,6
FRA,4279,Alain Doloy,Lazennec,,,,,,,,,7
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,8
FRA,4440,Léopold Leger,Robert Leibovitch,,,,,,,,,9
FRA,2810,Vaucanson,Levy,,,,,,,,,10
FRA,3644,Souvestres,Souvestre,,,,,,,,,11
FRA,,Roland Jouandeau,Astier,,,,,,,,,12
FRA,4666,Blanchard,Lebrun,,,,,,,,,13
FRA,4374,Leger,Danre,,,,,,,,,14
FRA,4368,Gaudry,Baguet,,,,,,,,,15
FRA,4224,P. Gadel,G. Gadel,,,,,,,,,16
FRA,4036,Taillandier,Turquem,,,,,,,,,17
FRA,4024,Noël Mme,Noël,,,,,,,,,18
FRA,4307,Laly,Hadfield,,,,,,,,,19
FRA,,Ohayon,Duval,,,,,,,,,20
FRA,4431,Christian Hauvette,Nicolas Vasseur,,,,,,,,,21
FRA,3080,Philadelphe,Gandois,,,,,,,,,22
FRA,4453,Fenouil,Angel,,,,,,,,,23
FRA,8,Guy Hédouin,Wintgand,,,,,,,,,24
FRA,4399,Duhau,Chailou,,,,,,,,,25
FRA,3663,Andstet,Courtois,,,,,,,,,26
FRA,,Herfort,Mandoff,,,,,,,,,27
FRA,2799,Pillon,Pillon,,,,,,,,,28
FRA,2349,Chauveau,Chauveau,,,,,,,,,29
FRA,3184,Comte,Perrin,,,,,,,,,30
FRA,3596,Beauvais,Rouge,,,,,,,,,31
FRA,,Clat,Christophe,,,,,,,,,32
FRA,3527,Ponchelet,Ponchelet,,,,,,,,,33
FRA,,Massu,Halpern,,,,,,,,,34
FRA,,Goldfarb,Patier,,,,,,,,,35
FRA,,Favre,Valembois,,,,,,,,,36
