Country,Boat number,Helmsman,Crew,,,,,Place
FRA,,Blanchard,Blanchard,,,,,1
FRA,4431,Christian Hauvette,Nicolas Vasseur,,,,,2
FRA,,Marcel Buffet,Moreau D.,,,,,3
FRA,,Didier Lange Berteaux,Poignant,,,,,4
FRA,,Nesseler,Nesseler,,,,,5
FRA,,Alain Doloy,Leger,,,,,6
FRA,4440,Léopold Leger,Robert Leibovitch,,,,,7
FRA,4453,Fenouil,Angel,,,,,8
FRA,,Bernard Reynier,François Dury,,,,,9
FRA,4228,Gilbert Vinches,François Padovani,,,,,10
FRA,,Wastiaux,Bauler,,,,,11
FRA,,Simon,Simon,,,,,12
FRA,2810,Vaucanson,Levy,,,,,13
FRA,,Doerenbecher,Doerenbecher,,,,,14
FRA,,Guyot,Landry,,,,,15
FRA,,Lallemand,Lallemand,,,,,16
FRA,,Baillet,Berger,,,,,17
FRA,4603,Jean Thobie,Patrick Ricci,,,,,18
FRA,,Beauvais,Rouge,,,,,19
FRA,,Heitz,Wantz,,,,,20
FRA,3851,Amiot,Bisson,,,,,21
FRA,,Carvallo,Vendenvalle,,,,,22
FRA,,Robert Comte,Bonnel,,,,,23
FRA,,Laly,Hatfield,,,,,24
FRA,4224,Pierre Gadel,Georges Gadel,,,,,25
FRA,,Richard Gaudry,Baguet,,,,,26
FRA,8,Guy Hédouin,Fougeres,,,,,27
