Nation,#,HELMSMAN,Crew,CLUB,1,2,3,4,5,6,Net Pts,
DEN,6886,Jorgen B. Moller,Jacob Bojsen-Møller,HS,1,2,3,1,1,3,"8,7",1
GBR,6989,Peter Colclough,Phil Brown,,3,3,4,8,2,6,"34,1",2
SWE,6630,Staffan Eklund,Anders Eklund,TBK,14,1,12,5,4,1,36,3
SWE,6841,Ebbe Rosen,Olle Wenrup,MKS,18,11,2,2,5,2,36,4
DEN,6343,Danes Jorgen Schonherr,Anders Kempe,KS,2,5,13,7,3,4,"39,7",5
SWE,6621,Karl-Erik Nilsson,Jan Calvert,TK,4,7,14,4,12,7,60,6
SWE,6829,Thomas Widstand,Per-Anders Hallberg,GKSS,21,4,18,13,6,9,"77,7",7
FRA,6448,Georges Le Troquer,Devoux,CVESCI,9,13,5,9,14,DNF,79,8
DEN,6791,Lars Lonberg,Kiaer,KS,32,19,8,24,11,5,96,9
GER,6535,Joerg Diesch,,WYC,31,21,16,18,a,8,101,10
GBR,6840,David Pitman,,,5,12,24,26,29,10,106,11
GBR,6846,Neil Willmott,Paul Willmott,,6,9,42,39,10,13,"106,7",12
GER,6974,Andreas Beckman,,RVE,12,26,33,17,13,11,109,13
FRA,6589,Marcel Buffet,,CVP,17,16,19,30,9,20,111,14
FRA,6907,Jean-F. Fountaine,,SRS,8,15,9,33,16,17,113,15
FRA,6963,Serge Guillaume,,CMB,11,10,32,42,15,15,113,16
FRA,6584,Philippe Lecrit,,ACAL,19,8,28,10,19,DSCI,114,17
GER,6505,H. Luettringhaus,,ETUF,13,14,38,22,22,14,115,18
SWE,6718,Krister Bergstrom,Martin Bergstrom,GKSS,DNF,6,1,6,7,DSCL,"115,4",19
SWE,6709,Jan Nilsson,Dan Stenberg,HSS,30,32,27,11,20,12,130,20
SWE,6072,Bo Ferm,,SSG,7,34,29,21,21,DNF,142,21
GBR,6782,John Paterson,,,27,41,10,28,25,22,142,22
GBR,6868,Mike Lawton,,,16,30,51,14,27,26,143,23
GER,6398,Kay Ewaldsen,,ETUF,22,18,35,31,33,16,150,24
SUI,6750,Josef Zuppiger,,RCO,15,24,63,40,23,21,153,25
FRA,6572,F. Doerenbecher,,CVM,57,DNF,21,16,17,19,160,26
GER,6673,S. Waskoenig,,YCSB,33,25,64,19,31,28,166,27
GER,6770,Peter Heck,,SCB,37,42,22,15,39,25,168,28
SWE,6143,Stefan Eriksson,Jackobsson,GKSS,10,37,30,25,38,DNF,170,29
GBR,6785,G. Thomas,,,35,17,43,57,18,33,176,30
SUI,6947,Urs Laeubli,,SCEZ,28,54,6,12,54,DNF,170,31
FRA,6600,Jacques Raguet,,CVBfil,40,27,34,32,42,24,187,32
GER,6866,Rainer Hobe,,,36,45,15,29,34,DNF,189,33
SUI,6643,Martin Ingold,,SKS,26,23,44,37,41,32,189,34
SWE,5901,Claes Hellgren,,SSN,29,DNF,31,36,35,31,192,35
DEN,6795,John Bugga,,BSS,42,39,48,34,30,18,193,36
SUI,6767,Werner Mueller,,YCZ,50,20,49,58,36,23,208,37
GER,6768,Adalbert Kluck,,TSVS,44,31,53,47,26,30,208,38
GER,6817,Hanspeter Peterson,,SvW,56,28,40,DNF,32,27,213,39
FRA,6913,Yves Pottier,,CNB,46,57,41,23,40,34,214,40
SUI,6579,Ruedi Christen,,SCAE,43,22,54,38,28,DNF,215,41
FRA,6732,Jean-Pierre Cordonnier,Alain Cordonnier,YCC,24,DNF,17,3,DNF,DNS,"216,7",42
SUI,6471,Lucin Keller,,CNM,34,51,62,35,43,29,222,43
GER,6930,Brigitte Preuss,,DSCU,53,29,7,50,24,DNF,227,44
FRA,6812,Remi Tristan,,SRR,52,43,56,27,45,38,235,45
SWE,5797,Anders Malmstrom,,SSN,41,47,36,DNF,47,41,242,46
FIN,5750,Tom Seppänen,Timo Seppänen,HSK,39,DNF,37,41,53,43,243,47
GER,6941,Hans-Otto Frisch,,SCLV,DSCL,38,11,20,DNF,DNS,245,48
GER,6559,Axel Lenderoth,,SVWB,58,33,25,48,50,DNF,257,49
GER,6506,Peter Forster,,SCw,55,48,66,49,37,40,270,50
FRA,6,Bruno Guillen,,CNBN,49,44,47,51,44,DNF,265,51
GER,6506,Peter Forster,,scw,55,48,66,49,37,40,270,52
FIN,6317,Stefan Winquist,,BS,25,46,26,DNF,DNF,DNS,273,53
FRA,6613,Robert Fossard,,SNGL,48,52,61,53,48,42,273,54
GER,6195,Hauke Rathjens,,KYC,DNF,DNS,45,43,51,36,278,55
IRL,6604,Denis O'Sullivan,,MBSC,60,53,57,55,49,35,279,56
SUI,6650,Thomas Schiess,,SCC,20,DSCL,39,52,DNS,DNS,287,57
GER,5897,Ewald Brzoska,,YCW,62,56,60,54,56,37,293,58
FRA,6279,Alain Doloy,,CV,38,36,46,DNF,DNS,DNS,296,59
SWE,5635,Jan Knute,Hans Andersson,,59,35,67,60,46,DNF,297,60
SWE,6434,Arne Malm,Torbjörn Lindersson,FSS,54,55,55,59,59,44,297,61
DEN,5962,Henrik Andersen,,HS,47,49,52,46,DNF,DNS,297,62
FRA,6811,Bernard Oudard,,YCB,45,61,59,44,55,DNF,303,63
FIN,6133,Aarne Kuusi,,SPS,64,59,23,56,DNS,DNS,305,64
FIN,6888,Esa Varntera,,NP,51,50,58,45,DNF,DNS,307,65
FIN,5748,Rolf Sundbaeck,,OV,63,60,50,DNF,58,DNF,334,66
GER,6816,Bernd Kowalzig,,,DNS,DNS,DNS,DNF,57,39,345,67
FRA,5885,Silvestre,,CNCRO,61,58,65,DNF,DNS,DNS,360,68
GER,6050,Dirk Hay,,TSVS,DNS,DNS,DNS,DNS,52,DNF,374,69
