Nation,Boat No,Crew,Skipper,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,total,place
USA,7771,Mike Martin,Robin Brown,,1,4,2,1,3,1,7.25,1
USA,0,Bruce Edwards,Mike Holt,,5,1,4,5,1,2,12.5,2
USA,0,Cam Lewis,Howard Hamlin,,2,2,3,3,11,3,13,3
USA,7875,Bruce Heckman,Jeff Miller,,3,3,1,2,5,5,13.75,4
USA,0,Rob Waterman,Jay Golison,,7,5,6,4,11,4,26,5
USA,0,Craig Pereze,Mark Adams,,6,6,5,6,6,7,29,6
USA,0,Uli Coblenz,Dan Thompson,,4,7,7,11,4,8,30,7
USA,0,Meade Hopkins,,,8,8,8,7,2,6,31,8
USA,0,,Gary Scott,,10,9,9,11,7,9,44,9
USA,0,,Chris Takacs,,9,DNS,DNS,DNS,DNS,DNS,53,10
