Nation,SAIL NO.,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Net 1 Drop,POS.
CAN,8264,Jeff Boyd,Martin Ten Hove,Kingston Yacht Club,1,1,1,1,3*,1,1,7.5,4.5,1
USA,8645,James Englert,Thad Melton,Hampton Y.C.,2,2,2,2,1,2,DNF*,29.75,10.75,2
CAN,8192,Brook Hamilton,Stephen Yates,Collins Bay Yacht Club,3,3,9*,3,2,8,5,33,24,3
USA,7685,Graham Alexander,Mark Koenig,Hoover Y.C.,7*,5,4,7,6,3,3,35,28,4
GBR,8240,Pete Spaulding,Mike Welch,American YC,11*,4,5,5,4,7,6,42,31,5
CAN,8442,Ian Eskritt,Michael Hoffman,Britannia Yacht Club,6,DNF*,7,8,5,6,2,53,34,6
CAN,8410,Clarissa Bush,Chris Gillies,Britannia Yacht Club,9*,7,6,4,8,9,4,47,38,7
CAN,6910,Ron Hughes,John Bryant,Nepean Sailing Club,12*,8,3,DNF*,12,4,8,66,47,8
USA,8013,David Smith,Rick Thompson,Portland Yacht Club,4,13,15*,9,9,5,7,62,47,9
CAN,7612,Rod Anderson,Kevin Schultz,Britannia Yacht Club,8,6,11,6,13*,11,10,65,52,10
CAN,7605,Renka Gesing,Adam Gesing,South Port Sailing Club,10,11,10,10,7,13*,11,72,59,11
CAN,7150,Marg Hurley,Ian Torrie,Kitsilano Y.C.,RET*,9,12,11,11,10,9,81,62,12
CAN,8360,Pierre Saint-Cyr,Normand Saint-Cyr,Pointe Claire Yacht Club,5,12,8,DNF*,10,12,DNF,85,66,13
CAN,5080,Michael Agrell,Dave Stetson,Oakville,DNF*,10,13,12,14,14,12,94,75,14
USA,7857,James Tuten,Geoff Cashman,Hoover Y.C.,15,14,14,13,16*,16,13,101,85,15
CAN,6068,Adam Schell,Davey Belford,Kingston YC,13,DNF*,16,14,15,15,DNF,111,92,16
CAN,7796,David Adams,Debbie Ashbuy,Britannia Yacht Club,16,15,DNF*,DNF,17,17,14,117,98,17
CAN,7950,Louis Samson,Isabelle Beaudoin,Club Nautique Deux Montagne,14,DNF*,17,DNF,DNF,18,DNF,125,106,18
