Nation,Boat,Helm ,Crew ,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Points,Netto,Place
GER,8623,Stefan Böhm,Gerald Roos,,2,DNF*,8*,2,1,1,1,2,1,35,10,1
GBR,8705,Terry Scutcher,Simon Lake J.,,1,1,1,5*,2,2,2,3*,2,19,11,2
GER,8392,Martin Seikel,Norbert Becker,,3,2,2,6*,9*,4,3,5,4,38,23,3
GER,8671,Markus Mühlbauer,Jens Wilke,,6,DNC*,3,1,3,6*,5,4,3,48,25,4
BEL,8536,Bart Meynendonckx,Chris Lehouck,,5*,4,3,4,10*,5,4,1,5,41,26,5
GER,8642,Stefan Schollmayer,Francisco Sanguino,,4,5,4,3,5,3,6*,6,7*,43,30,6
AUS,8603,Ian Dunn,Paul Schulz,,7,3,5,10*,4,7*,9,7,6,58,41,7
GER,8567,Jörg Detmold,Daniel Scheer,,8,DNC*,DNC*,11,8,10,8,8,8,95,61,8
GER,8571,Karl Heinz Hilgers,Wolfgang Bogacki,,DNC*,DNC*,DNC,8,7,9,10,9,9,103,69,9
BEL,8463,Hemeldonck Van Emiel,Jan Van Emiel,,DNC*,DNC*,DNC,7,6,8,7,DNC,DNC,113,79,10
GER,8424,Peter Gerdts,Karsten Lahrs,,9,6,7,9,DNF*,DNC*,DNC,DNC,DNC,116,82,11
BEL,6853,Exem Van Hofkens,Harald Werner,,10,DNF*,DNF*,14,13,13,12,10,DNF,123,89,12
BEL,7015,Pierre Vandepol,Vincent Zimmermann,,DNC*,DNC*,DNC,12,11,11,11,DNC,DNC,130,96,13
BEL,8275,Pierre Ody,Bernon Gilies,,11,DNC*,DNC*,16,14,DNF,DNC,DNC,,126,,14
BEL,8350,Philippe Wirtz,Bruno Vanikaut,,DNC*,DNC*,DNC,13,12,12,DNF,DNC,,139,,15
BEL,8130,Michel Moens,Nathalie Moens,,DNC*,DNC*,DNC,15,DNF,14,DNF,DNC,,131,,16
