Båd,Besætning,Heln,Crew,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Tot.,Plac.
SWE,8655,Krister Bergström,Thomas Moss,GKSS,(OCS),1,3,1,1,2,8,1
DEN,8620,Jan Saggman,Morten Ramsbaek,FAS,2,2,2,2,2,[3],10,2
GER,8775,Tom Swift,Holger Jess,NRV,1,3,1,4,(OCS),4,13,3
SWE,8585,Jan Eriksson,Johan Arvedson,NSS,5,(DNF),4,8,7,5,29,4
SWE,8719,Ebbe Rosén,Olle Wenrup,MKS,6,4,5,6,8,-9,29,5
DEN,8807,Tom B–jland,Jacob Karbo,FARUM,[11],5,7,5,5,10,32,6
SWE,8768,Therese Torgesson,Johan Barne,GKSS,DNS,,6,3,(OCS),1,36,7
DEN,8581,Jon Andersen,Lasse B Andreasen,R,8,10,[13],7,4,7,36,8
SWE,7343,Kalle Nilsson,Johan Calvert,GKSS,10,9,(DNF),12,3,6,40,9
SWE,8232,Lars Stugemo,Bo Ringdahl,MKS,(OCS),11,9,10,6,14,50,10
FIN,8320,Annti Jore,Raimo Raita,TAPS,7,[17],12,11,10,12,52,11
DEN,8440,Per Larsen,Henrik Andersen,FAS,4,12,14,9,(OCS),15,54,12
FIN,7824,Erkka Ikonen,Juha Nurmela,V71,13,8,10,[14],13,13,57,13
DEN,8609,Niels Flohr,Martin Friderichsen,ASK,9,13,[16],15,9,11,57,14
AUS,8280,Mike Quirk,Norman Rydge,???,3,7,8,DNF,(DNS),DNS,58,15
SWE,8542,Henrik Gustafsson,Robert Larsson,÷KF,12,14,11,DNF,11,(DNS),68,16
DEN,7934,Kim Riis,Johny Rodholm,S,14,16,[17],17,14,8,69,17
SWE,8033,Kalle Thews,,NHSS,15,15,[18],16,12,16,74,18
DEN,8476,Henrik Buhl,Morten S Andersen,FARUM,(OCS),18,15,13,OCS,17,83,19
