Nation,,,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,place
FRA,,Philippe Boite,Toupet Fabrice,C V DE MEAUX,,,,,,,,1
FRA,,Thibault Di Pede,Gubri Serge,C V SEINE-PORT,,,,,,,,8
FRA,,Viateur Regis,Gallo Pierre Jean,CVSQ,,,,,,,,11
FRA,,Peter Jean-Pierre,Brenet Veronique,A C D'ALSACE LORRAIN,,,,,,,,14
FRA,,Doerenbecher Francis,Doerenbecher Aubin,C N DE SCIEZ,,,,,,,,16
FRA,,Dupont Jean Baptiste,Lecorgne Pierre,CV PARIS,,,,,,,,18
FRA,,Philippe Blanchard,,A C D'ALSACE LORRAIN,,,,,,,,23
FRA,,Chartier Jean Philippe,Chartier Alain,C Y V PARELOUP,,,,,,,,27
FRA,,Frédéric Veroul,Huet Sebastien,C N VASSIVIERE,,,,,,,,30
FRA,,Roucayrol Frederic,Bleuez Loic,Club Var Mer,,,,,,,,33
FRA,,Ancelot Jean Claude,Boiry Michel,LOISIRS TEMPS LIBRE,,,,,,,,34
FRA,,Carvallo Gilles,Jeanne Muriel,C N HAUTE SEINE,,,,,,,,35
FRA,,Lehmann Robert,Edel Bernard,A C D'ALSACE LORRAIN,,,,,,,,37
FRA,,Lasnier Adrien,,Y C Sablettes,,,,,,,,41
