Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Brutto,Netto,Place
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,4,1,3,3,12,,1
GER,8747,Martin Kittsteiner,Oliver Stieglitz,HSC,2,2,2,4,2,12,,2
GER,8669,Tim Böger,Markus Schöner,HSC,4,2,2,4,2,14,,3
GER,8665,Jens-Peter Schlomka,Martin Schöler,TSVS,5,1,3,2,DNF 24,35,,4
GER,6816,Andreas Jungclaus,Bruno Laudage,HSC,3,8,4,5,6,26,,5
GER,8538,Claas De Jong,Marius Knippscheer,HSC,7,6,6,7,5,31,,6
GER,8619,Steve Kwee,Thorsten Spötter,HSC,9,5,7,10,7,38,,7
GER,8433,Jürgen Anton,Ulf Denecke,HSC,6,7,14,6,9,42,,8
GER,7443,Jan Rindermann,Henty Koethe,SC RHE,8,10,12,8,8,46,,9
GER,8370,Karsten Stümpel,Ute Stümpel,HSC,13,9,13,18,11,64,,10
GER,6817,Ralf Schneidewind,Peter Tefert,KSC,18,11,14,11,12,66,,11
GER,7732,Iris Anton,Karsten Morf,HSC,10,14,15,17,10,66,,12
GER,8500,Christian Henge,Matthias Fedde,OSG,16,12,11,13,13,65,,13
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,DNF 24,30,8,19,4,85,,14
GER,8478,Walter Steding,Uwe Küntzel,HSC,DNF 24,13,10,9,DNF 24,80,,15
GER,8098,Nicholas Melzwig,Michaela Melzwig,LRV,11,22,20,12,15,80,,16
GER,8065,Guido Weiskopf,Tim-Jonas Juettner,SCS 78,20,19,16,15,14,84,,17
GER,8049,Matthias Tellen,Moritz Lüther,RSC,15,17,DNF 24,16,16,88,,18
GER,8531,Benedikt Schulte,Oliver Hahne,BMSC,19,16,17,14,19,85,,19
GER,8505,Stephan Ramm,Michael Erhard,NRV,14,18,18,21,17,88,,20
GER,8772,Julia Tanner,John Christiansen,HSC,DNC 24,20,21,20,18,103,,21
GER,8282,Max Rauner,Andreas Hemmerich,SVTH,17,21,19,DNF 24,DNF 24,105,,22
GER,8654,Nikolaus Jägersberg,Wolfgang Hiltscher,SCLW,12,DNF 24,DNC 24,DNC 24,DNC 24,108,,23
